Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-December-2022,4000.00,4030.90,3970.00,4016.60,4008.125407053280676228,28866,2515,115698548.00,4103,14.21,60.90,16.60
9-December-2022,4045.00,4093.00,3944.50,3995.80,4024.277946105915867247,99343,8438,399783844.00,21628,21.77,148.50,-49.20
8-December-2022,4002.00,4046.05,4002.00,4025.55,4026.032434168272318561,28026,2534,112833585.00,6381,22.77,44.05,23.55
7-December-2022,4026.00,4056.55,3985.30,3998.30,4019.032006967503129933,36742,3535,147667274.00,6735,18.33,71.25,-27.70
6-December-2022,3915.00,4057.35,3912.45,4031.00,4016.058696665257773298,92271,6941,370565752.00,15851,17.18,144.90,116.00
5-December-2022,3925.00,3937.00,3810.25,3929.55,3874.439757140234467203,76258,6125,295457027.00,8576,11.25,126.75,4.55
2-December-2022,3901.00,3961.00,3885.80,3921.45,3924.598645424881406125,36469,3004,143126188.00,5713,15.67,75.20,20.45
1-December-2022,3938.00,3944.55,3902.45,3914.90,3922.309797220323536113,43890,3826,172150177.00,13951,31.79,42.10,-23.10
30-November-2022,3908.95,3939.65,3866.75,3920.05,3897.236182994454713493,108200,5157,421680955.00,71374,65.96,72.90,11.10
29-November-2022,3880.00,3916.20,3864.75,3879.20,3889.217963537014658750,38066,3228,148046971.00,6640,17.44,51.45,-0.80
28-November-2022,3892.00,3925.00,3871.30,3885.25,3900.530027364839878707,54084,4486,210956266.00,16699,30.88,53.70,-6.75
25-November-2022,3925.05,3950.95,3847.25,3903.35,3895.591556163406077183,84085,7586,327560816.00,13651,16.23,103.70,-21.70
24-November-2022,3912.20,3935.00,3822.00,3922.00,3882.713841936957514846,109450,9763,424963030.00,23850,21.79,113.00,9.80
23-November-2022,4048.10,4060.00,3873.05,3903.65,3949.525630680693634578,131366,10350,518833384.00,31613,24.06,186.95,-144.45
22-November-2022,4014.00,4056.00,3987.30,4035.60,4032.262101421436803688,41648,3543,167935652.00,8437,20.26,68.70,21.60
21-November-2022,4017.00,4017.00,3920.80,4001.10,3977.340551027113287544,63917,6360,254219676.00,16838,26.34,96.20,-15.90
18-November-2022,4060.00,4060.00,3985.40,4019.85,4015.027915463805218149,36718,3047,147423795.00,5735,15.62,74.60,-40.15
17-November-2022,3980.00,4032.00,3900.15,4017.65,3979.748968750000000000,64000,5358,254703934.00,8601,13.44,131.85,37.65
16-November-2022,4069.00,4098.10,3864.85,3956.45,3993.459809367873223788,85505,7510,341460781.00,12112,14.17,233.25,-112.55
15-November-2022,4022.00,4065.00,4022.00,4057.55,4036.423577371048252911,60100,2839,242589057.00,6383,10.62,43.00,35.55
14-November-2022,3997.05,4077.70,3995.00,4021.05,4031.291224653055545894,57502,4046,231807308.00,8710,15.15,82.70,24.00
11-November-2022,4049.00,4049.00,3975.05,4008.70,4013.029160522703005033,78668,6442,315696978.00,23326,29.65,73.95,-40.30
10-November-2022,3997.15,4028.00,3962.75,3992.90,3997.521045072156487244,73105,4537,292238776.00,9961,13.63,65.25,-4.25
9-November-2022,3970.05,4047.25,3943.35,3997.15,4007.051774804342337793,198050,15433,793596604.00,38374,19.38,103.90,27.10
7-November-2022,3840.15,4015.00,3820.60,3961.15,3945.134346283951630671,231469,15478,913176302.00,22771,9.84,194.40,121.00
4-November-2022,3630.00,3850.00,3566.20,3832.35,3738.955539554811737194,308319,21686,1152791033.00,86898,28.18,283.80,202.35
3-November-2022,3541.00,3613.10,3541.00,3591.10,3587.995093700696502097,51974,3537,186482457.00,6147,11.83,72.10,50.10
2-November-2022,3575.60,3625.00,3526.00,3578.00,3576.768298142658358037,82645,6495,295602016.00,13034,15.77,99.00,2.40
1-November-2022,3351.10,3605.00,3351.10,3575.60,3519.473426470691114640,142943,11274,503084090.00,18268,12.78,253.90,224.50
31-October-2022,3335.00,3360.00,3327.10,3346.35,3344.339920278178271563,35373,2975,118299336.00,12351,34.92,32.90,11.35
28-October-2022,3333.45,3386.00,3299.95,3325.65,3327.614754886474458470,218409,3180,726781011.00,176983,81.03,86.05,-7.80
27-October-2022,3310.50,3353.00,3297.85,3324.90,3322.446207216063821372,88497,2908,294026522.00,46498,52.54,55.15,14.40
25-October-2022,3315.00,3346.00,3294.70,3300.00,3314.076111133578679176,24727,2031,81947160.00,2570,10.39,51.30,-15.00
24-October-2022,3339.00,3339.00,3291.55,3309.60,3319.105058365758754863,5654,729,18766220.00,1532,27.10,47.45,-29.40
21-October-2022,3379.40,3380.25,3286.55,3310.95,3338.928093342981186685,66336,4752,221491134.00,10902,16.43,93.70,-68.45
20-October-2022,3256.00,3365.70,3246.00,3357.30,3319.721329822251481237,91140,3529,302559402.00,44225,48.52,119.70,101.30
19-October-2022,3313.95,3313.95,3258.05,3277.00,3291.000319100844730847,112817,5427,371280783.00,63852,56.60,55.90,-36.95
18-October-2022,3269.95,3297.00,3224.95,3285.00,3266.442437844092997159,57034,3404,186298278.00,9620,16.87,72.05,15.05
